"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"726318495906975744","https://twitter.com/nandaka_furari/status/726318495906975744","ツイッターから距離を置くのも難しいな。騒々しいし疲れるシステムだけど、それでもやってしまう魅力がやはりある。これを突き放すのはなかなか難しい。Google plusで一応匿名アカあるし見るのはそっちでやってみるかな。","2016-04-30 07:53 +0000","266.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"726309795502804992","https://twitter.com/nandaka_furari/status/726309795502804992","追記：
コメント欄のコメントもまとめた方がいいのはこのまとめに限らずだけど。というか書くつもりはなかったんだけど、まとめ見てるとつい書いてしまうな。しかし、これで2万アクセスか、いいなぁ。そういや、自作まとめのまとめを作る予定はあったんだけど、やる気がどうも…。","2016-04-30 07:18 +0000","248.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"726308917844697088","https://twitter.com/nandaka_furari/status/726308917844697088",".@wenly_m さんのコメント「@tyurukichi_AA そろそろこのコメント欄のコメントツイートをまとめるまとめが欲しいかも。」にいいね！しました。 https://t.co/0EHTiLT7ia","2016-04-30 07:15 +0000","234.0","3.0","0.01282051282051282","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"726301727327047680","https://twitter.com/nandaka_furari/status/726301727327047680","まとめ主には俺が作った嫌韓言説検証まとめも参考に入れてほしいな。反安倍に限らず「何でそんなに簡単にデマをいう人を信じるのか」を真剣に考えたいなら。「反安倍、反自民の人って何故そんな簡単にデマを信じるのか？　理解できない。」 https://t.co/H9nockEnjt","2016-04-30 06:46 +0000","221.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"726300454909440000","https://twitter.com/nandaka_furari/status/726300454909440000",".@tyurukichi_AA さんの「反安倍、反自民の人って何故そんな簡単にデマを信じるのか？　理解できない。」をお気に入りにしました。 https://t.co/8v2ct4FDSR","2016-04-30 06:41 +0000","164.0","2.0","0.012195121951219513","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"726297200762847232","https://twitter.com/nandaka_furari/status/726297200762847232","赤旗政治記者「はちまを守ろう！」
嫌儲民「赤旗はアフィ」 .@kinoko123456 さんの「【赤旗】赤旗政治記者が悪質まとめブログ「はちま起稿」をソースにして飽きれるツイッター民」をお気に入りにしました。 https://t.co/lLNsjxB5FW","2016-04-30 06:28 +0000","184.0","3.0","0.016304347826086956","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725924655500906496","https://twitter.com/nandaka_furari/status/725924655500906496",".@kintoki_naruto さんの「表情豊かなヒラリー・クリントン氏が煽り性能高い画像を提供しすぎだと話題に」をお気に入りにしました。 https://t.co/vxVTkWkJg1","2016-04-29 05:48 +0000","176.0","2.0","0.011363636363636364","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725837186965209088","https://twitter.com/nandaka_furari/status/725837186965209088","@mizukikenkan コメントしましたよ。
ID:Ali2AD580
https://t.co/yNYPVNquUF","2016-04-29 00:00 +0000","57.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725653603189293056","https://twitter.com/nandaka_furari/status/725653603189293056","ハゲにヤサシイ…。","2016-04-28 11:51 +0000","129.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725646105107533824","https://twitter.com/nandaka_furari/status/725646105107533824","じゃあ、あなたは国士病ですね。 https://t.co/b8NGYOerlB","2016-04-28 11:21 +0000","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725643414411182081","https://twitter.com/nandaka_furari/status/725643414411182081","保留目的でいいねしたのをRTしておいた方が、よりツイッターから距離を置く気持ちが確たるものになるのではないか、という判断。","2016-04-28 11:10 +0000","107.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"725641985487331329","https://twitter.com/nandaka_furari/status/725641985487331329","日本の左翼（特に特権階級）は言うほどバーニー・サンダース氏は好きじゃないし、むしろ無視したい気持ちを感じるかな。
https://t.co/lB1rKDBBLY","2016-04-28 11:05 +0000","74.0","2.0","0.02702702702702703","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
