"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"880227451401404417","https://twitter.com/nandaka_furari/status/880227451401404417","なんかもう無理って感じになったのでしばらくツイッター休む。","2017-06-29 00:52 +0000","62.0","1.0","0.016129032258064516","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880064277624758272","https://twitter.com/nandaka_furari/status/880064277624758272","バニラ・エアの話題、クレーマー扱いするのを批判する人もいるけど、こういうクレームの対処って発達障害者は難しいと言われてるんだけど、えーとつまり発達障碍者は接客業の職場からは排除しろってことかな？まあそれも一つの意見だけど、俺からすればこの抗議が容認されるってディストピアだなー。","2017-06-28 14:04 +0000","548.0","4.0","0.0072992700729927005","0.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880050465131511808","https://twitter.com/nandaka_furari/status/880050465131511808","こっちで少し試してたんだけど、拡張子が違うと結果が違ってて、それはContent-typeが違ってくるから、ということだろうか。
https://t.co/nCQXsjy5pU","2017-06-28 13:09 +0000","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880049980068712448","https://twitter.com/nandaka_furari/status/880049980068712448","あー？これもしかしてレスポンスのContent-typeがtext/htmlじゃないといけないのか？ https://t.co/pAgzZ27S7n","2017-06-28 13:07 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880046376154943489","https://twitter.com/nandaka_furari/status/880046376154943489","この記事ももう少し修正というか加筆をしたい。
https://t.co/qLY7zDpUp2","2017-06-28 12:53 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880046137775865857","https://twitter.com/nandaka_furari/status/880046137775865857","あ、変なのツイートしたな。まあいっか。","2017-06-28 12:52 +0000","47.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880046016950554624","https://twitter.com/nandaka_furari/status/880046016950554624","https://t.co/qLY7zDpUp2","2017-06-28 12:51 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"879865320583815168","https://twitter.com/nandaka_furari/status/879865320583815168","tableは紛らわしい…新しい方は別の呼び方にならないか。","2017-06-28 00:53 +0000","53.0","1.0","0.018867924528301886","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"879724744844521472","https://twitter.com/nandaka_furari/status/879724744844521472","ダメか…。原因は何だろう。","2017-06-27 15:34 +0000","77.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"879724666100752385","https://twitter.com/nandaka_furari/status/879724666100752385","もっかいテスト
https://t.co/zjoEtnX7RA","2017-06-27 15:34 +0000","74.0","2.0","0.02702702702702703","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
