"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォロー中","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォロー中","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"801714365611143168","https://twitter.com/nandaka_furari/status/801714365611143168","寿司を食うためじゃないかと思うときがある。言い換えればスシローやはま寿司を儲けさせるため…。あ、それで今度の休日はくら寿司に行こうかと思ってる。 #あなたの生きてる意味","2016-11-24 09:09 +0000","133.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"801585547139391488","https://twitter.com/nandaka_furari/status/801585547139391488","ミスタートラムプ
発音しづらい。","2016-11-24 00:37 +0000","37.0","1.0","0.02702702702702703","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"801403490123685888","https://twitter.com/nandaka_furari/status/801403490123685888","タケモトピアノのCMの費用対効果はどのくらいなのか。","2016-11-23 12:34 +0000","29.0","1.0","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"801055387201847296","https://twitter.com/nandaka_furari/status/801055387201847296","…なんか頭くらくらしてる感じだし早めに寝て、明日もずっと寝ている感じにした方がいいかな。","2016-11-22 13:31 +0000","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"801052239569661952","https://twitter.com/nandaka_furari/status/801052239569661952","IT芸人とは？","2016-11-22 13:18 +0000","61.0","1.0","0.01639344262295082","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"801051907376562176","https://twitter.com/nandaka_furari/status/801051907376562176","ペリカン便が運ぶ鳩…
https://t.co/sPVzZPNIMU","2016-11-22 13:17 +0000","71.0","1.0","0.014084507042253521","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800977928955666433","https://twitter.com/nandaka_furari/status/800977928955666433","@nandaka_furari なんか思ったよりヤバイんじゃないかという気がする。","2016-11-22 08:23 +0000","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800969161056755713","https://twitter.com/nandaka_furari/status/800969161056755713","いつのまにか極度のストレスを溜め込んでいるのではないかという気がする。脳の状態がおかしいような感じ。目がピクピクする事もあるし。","2016-11-22 07:48 +0000","44.0","2.0","0.045454545454545456","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800906146194210817","https://twitter.com/nandaka_furari/status/800906146194210817","11月下旬とは思えないくらい今日は暖かい。20℃くらいみたいだけど日差しの分で暖かさが増してる感じ。","2016-11-22 03:38 +0000","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800900111706427392","https://twitter.com/nandaka_furari/status/800900111706427392","こういこともするのか。 https://t.co/aNvmpANhIo","2016-11-22 03:14 +0000","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800862342422491136","https://twitter.com/nandaka_furari/status/800862342422491136","強い地震か。まだあのあたりで起きるのか。","2016-11-22 00:43 +0000","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800692678585241600","https://twitter.com/nandaka_furari/status/800692678585241600","うーん、番組の方はちらっと見ただけなんで内容は知らんけど、記事だけ読んだら男尊女卑の逆張りみたいなアレだな。実際に番組はこんな雰囲気だったのかな。
https://t.co/DgMKok0VnN","2016-11-21 13:29 +0000","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800542628194287616","https://twitter.com/nandaka_furari/status/800542628194287616","マンホールの蓋これくしょん
マンホールの蓋乱舞","2016-11-21 03:33 +0000","145.0","5.0","0.034482758620689655","1.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800541763794444288","https://twitter.com/nandaka_furari/status/800541763794444288","マンホーラー https://t.co/7uh1TnMfeK","2016-11-21 03:30 +0000","29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800312174476279808","https://twitter.com/nandaka_furari/status/800312174476279808","地上編でも盾はレベルが上がると物防と魔防はともに上がるのでこれを応用して進めてみたい。武器スキルレベルが上がっても少なくとも2章まではありがたみが無かったので、これで大丈夫だと思う。剣の武器レベルも進めていけばまあ上がっていくだろう。 https://t.co/4Uh1sCwaji","2016-11-20 12:17 +0000","58.0","3.0","0.05172413793103448","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800309250857701376","https://twitter.com/nandaka_furari/status/800309250857701376","ソウシハギて、警告色というやつなのかヤバイ色してると思えるので、俺は仮に釣ったとしても食べないかなと思うけど、もしかしたら好奇心が勝るかもしれない。そも、俺は釣りをしないのでそういう機会自体無さそうだけど、誰かが釣ったのを食べるのを持ちかけられる可能性はあるかも。","2016-11-20 12:06 +0000","135.0","1.0","0.007407407407407408","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800284033460510720","https://twitter.com/nandaka_furari/status/800284033460510720","野菜の値上がりはレストランには厳しいんだろうな。いつまで続くんだろ。","2016-11-20 10:25 +0000","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"800274189487902720","https://twitter.com/nandaka_furari/status/800274189487902720","昨日今日と何もしなかった。寝てただけ。暇が出来たらあれしようこれしようと思っていたが。しかし休日は休むためにある。これが正しい休日の過ごし方。","2016-11-20 09:46 +0000","28.0","1.0","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
