"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"506080670368550912","https://twitter.com/nandaka_furari/status/506080670368550912","まあこれでいっか。バグだらけだろうけど","2014-08-31 14:06 +0000","65.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"506080460363935744","https://twitter.com/nandaka_furari/status/506080460363935744","私がブロックしているユーザーの数:335
私をブロックしているユーザーの数:0
http://t.co/eTlUQyeA7F","2014-08-31 14:05 +0000","73.0","1.0","0.0136986301369863","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"506039246449156096","https://twitter.com/nandaka_furari/status/506039246449156096","「俺の気に入らないやつが権力持っている」って考えなんだろうね。","2014-08-31 11:22 +0000","67.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"506016163336187904","https://twitter.com/nandaka_furari/status/506016163336187904",".@sayokaina さんの「デマです→朝日新聞「刺されたんじゃなくていいので、犬が怪我した写真ありませんか？」」をお気に入りにしました。 http://t.co/pHGNCN9mYe","2014-08-31 09:50 +0000","101.0","5.0","0.04950495049504951","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"506015013622915072","https://twitter.com/nandaka_furari/status/506015013622915072","こんなのやってたのか","2014-08-31 09:45 +0000","59.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"506014895154819073","https://twitter.com/nandaka_furari/status/506014895154819073",".@n4llfSrKkNx4 さんの「”玄米を食べると癌が治る”24時間テレビドラマを見てしまったみんな」をお気に入りにしました。 http://t.co/5RlcjnceuF","2014-08-31 09:45 +0000","187.0","3.0","0.016042780748663103","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"505700238825250817","https://twitter.com/nandaka_furari/status/505700238825250817","&lt;c:choose&gt;とか使いたくないな…めんどくさい
EL式でいい書き方ないのかな","2014-08-30 12:55 +0000","66.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"504968504651436032","https://twitter.com/nandaka_furari/status/504968504651436032","あーなんてミスを…テストコードがあれだから気づかなかったか…","2014-08-28 12:27 +0000","62.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"504960908213248001","https://twitter.com/nandaka_furari/status/504960908213248001","いややっぱあれかな","2014-08-28 11:57 +0000","61.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"504954599283765248","https://twitter.com/nandaka_furari/status/504954599283765248","んーべつにこの場合はいいのか…？","2014-08-28 11:32 +0000","73.0","1.0","0.0136986301369863","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"504953257123278848","https://twitter.com/nandaka_furari/status/504953257123278848","twitterのOauthでログインしたときに表示されるURIにログインしないでアクセスされたときのステータスコードって何返せばいいんだろ。403かな。","2014-08-28 11:26 +0000","81.0","1.0","0.012345679012345678","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503826960850505728","https://twitter.com/nandaka_furari/status/503826960850505728","ていうか日本語本でCDIの説明があるやつってあるのかな？金魚本にはほとんどなかったんだよな…","2014-08-25 08:51 +0000","78.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503826451678781440","https://twitter.com/nandaka_furari/status/503826451678781440","PostConstructアノテーションに書くほうがベター？","2014-08-25 08:49 +0000","52.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503825881899356160","https://twitter.com/nandaka_furari/status/503825881899356160","CDIのオブジェクトの生成サイクルがちょっとわかった。はまってたけど解決しそう。CDI管理のクラスでコンストラクタにいろいろ書くのはやめたほうがいいっぽい。","2014-08-25 08:47 +0000","57.0","1.0","0.017543859649122806","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503520893394378752","https://twitter.com/nandaka_furari/status/503520893394378752","Jenkinsに設定しないといけないのか、なるほど","2014-08-24 12:35 +0000","62.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503510498361364480","https://twitter.com/nandaka_furari/status/503510498361364480","環境変数が設定されているかどうかの違いか？","2014-08-24 11:53 +0000","78.0","1.0","0.01282051282051282","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"503492538192232448","https://twitter.com/nandaka_furari/status/503492538192232448","コマンドとかnetbeansからのmavenのテストは通るけどJenkinsでビルドするときには失敗してしまう…","2014-08-24 10:42 +0000","106.0","1.0","0.009433962264150943","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502459356877582336","https://twitter.com/nandaka_furari/status/502459356877582336","https://t.co/slBbQZh21f
かなりの大惨事だな","2014-08-21 14:17 +0000","72.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502416458635157505","https://twitter.com/nandaka_furari/status/502416458635157505","そもそもグラフデータベースの日本語本自体無いっぽい","2014-08-21 11:26 +0000","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502415483971198976","https://twitter.com/nandaka_furari/status/502415483971198976","neo4jの日本語情報増えないかなー
特にマニュアル日本語で読みたい…","2014-08-21 11:22 +0000","71.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502415189996605440","https://twitter.com/nandaka_furari/status/502415189996605440",".@kimukou2628 さんの「2013/05/25(#neo4j_jp)第2回Neo4j  勉強会」をお気に入りにしました。 http://t.co/Frk2XGPGT7","2014-08-21 11:21 +0000","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502412046197981184","https://twitter.com/nandaka_furari/status/502412046197981184","バグだらけだろうけどビルドしてみるかな…","2014-08-21 11:09 +0000","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"502097273157722113","https://twitter.com/nandaka_furari/status/502097273157722113","https://t.co/XAwNECPstO
こういうのも行ってみたいけど…まあ、行けたとしても内容についていけないかもだけど","2014-08-20 14:18 +0000","89.0","2.0","0.02247191011235955","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
