"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"770974278959239168","https://twitter.com/nandaka_furari/status/770974278959239168","うーん…もしかして初めから死ぬつもりだったとか？どうやって銃を手に入れたか解明されるのか…。
https://t.co/eiSGIM4kma","2016-08-31 13:19 +0000","29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770937695774183424","https://twitter.com/nandaka_furari/status/770937695774183424","こっちは特に揺れなかったな。","2016-08-31 10:54 +0000","32.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770929131496218624","https://twitter.com/nandaka_furari/status/770929131496218624","kazumyagu3というの、釣りっぽいらしいが。 https://t.co/nUNrX90I42","2016-08-31 10:20 +0000","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770825622301966336","https://twitter.com/nandaka_furari/status/770825622301966336","マジかなー、さすがにこれは… https://t.co/7Qc8LAIY34","2016-08-31 03:28 +0000","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770789191047258112","https://twitter.com/nandaka_furari/status/770789191047258112","和歌山えらいことになっとるんやな。地理関係がよくわからんけど。","2016-08-31 01:03 +0000","78.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770786861518168064","https://twitter.com/nandaka_furari/status/770786861518168064","立てこもりとかになっているのか。しかしどうやって銃を手に入れたのか。","2016-08-31 00:54 +0000","352.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770595472612298752","https://twitter.com/nandaka_furari/status/770595472612298752","貼ったら貼ったでぼっちになりそうな気はするが…
https://t.co/SDMP6FaUcF","2016-08-30 12:14 +0000","35.0","1.0","0.02857142857142857","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770586714364534785","https://twitter.com/nandaka_furari/status/770586714364534785","相応の値段はしそうだな…
https://t.co/KHdVtDUqTk","2016-08-30 11:39 +0000","118.0","2.0","0.01694915254237288","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770583392253382656","https://twitter.com/nandaka_furari/status/770583392253382656","バカバカしそうだけど、ちょっと見たいかも…。to:記事 https://t.co/RxsGDcX3dq","2016-08-30 11:26 +0000","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770556320265011200","https://twitter.com/nandaka_furari/status/770556320265011200","ここ最近、ツイッターしてると、トヨタはそんなにイチローを嫌わなくたっていいのに、という気持ちになる事が多い。なぜそこまで嫌うのか、もしかして実は好きなんじゃないか、とか。","2016-08-30 09:38 +0000","32.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770228894335012864","https://twitter.com/nandaka_furari/status/770228894335012864","そういえばNodeListがコレクションのListを継承していたら…と考えることはあるかな。 https://t.co/DKJ9T3oSvV","2016-08-29 11:57 +0000","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770165318236770304","https://twitter.com/nandaka_furari/status/770165318236770304","引用とパクツイって線引きは明確にあったし、引用は許可はいらないはずだけど、トラブル防止なのかな。","2016-08-29 07:44 +0000","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770117614337191936","https://twitter.com/nandaka_furari/status/770117614337191936","CentOS on Windowsが欲しかった夏。（できるといえばできるけど）","2016-08-29 04:35 +0000","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770112076576587776","https://twitter.com/nandaka_furari/status/770112076576587776","windows bashを使おうにもDebian系を使ったことが皆無なのでコマンドとかが分からない。1から覚える必要があるけどはたして覚えられるのか…。","2016-08-29 04:13 +0000","113.0","2.0","0.017699115044247787","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770108329578393600","https://twitter.com/nandaka_furari/status/770108329578393600","Markdownで見出しは「#」を使うことがあるけど、数が少ない方が重要度が大きな見出しに変換されるのはどうなのだろう。数が大きい方が重要度も高いようにした方が、多く使う小さい見出しを使うときに「#」をたくさん打たなければならないのよりは効率としていいのではないか。","2016-08-29 03:58 +0000","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770093783698530305","https://twitter.com/nandaka_furari/status/770093783698530305","雨がすごい","2016-08-29 03:00 +0000","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
