"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"528167398478581761","https://twitter.com/nandaka_furari/status/528167398478581761","@Fascist_n @Fascist_n 補足ありがとうございます。どういう意図にせよデマってことですね。百田氏の撤回コメントみると審議拒否っていう意味で言ったような感じですが。あとは、広まったデ.. http://t.co/7NvQrw4Vhx","2014-10-31 12:51 +0000","20.0","3.0","0.15","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527832348595728384","https://twitter.com/nandaka_furari/status/527832348595728384",".@sayokaina さんのコメント「@FumiHawk ググりましたが「一部メディア」程度じゃないですかこれ？「捏造報道」と言う表現はメディアにとって最大限の批判だと思い..」にいいね！しました。 http://t.co/IrWVgf4tyx","2014-10-30 14:40 +0000","78.0","1.0","0.01282051282051282","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527832222724673536","https://twitter.com/nandaka_furari/status/527832222724673536",".@FumiHawk さんの「SMバー問題で『税金でSMバー行くな』という報道は捏造報道だった件」をお気に入りにしました。 http://t.co/ohQ9LqYMZj","2014-10-30 14:39 +0000","75.0","1.0","0.013333333333333334","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527826506781687808","https://twitter.com/nandaka_furari/status/527826506781687808","@GyokusaiS ツイートは削除しました。","2014-10-30 14:17 +0000","26.0","4.0","0.15384615384615385","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527826345774964736","https://twitter.com/nandaka_furari/status/527826345774964736","@GyokusaiS 了解しました。お手間取らせてすみませんでした。","2014-10-30 14:16 +0000","22.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527824206570876928","https://twitter.com/nandaka_furari/status/527824206570876928","@GyokusaiS
ツイートを使わせていただきました。問題ありましたら対応しますのでご連絡ください。 http://t.co/LlhAEaIXtp","2014-10-30 14:07 +0000","27.0","2.0","0.07407407407407407","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527822717794263040","https://twitter.com/nandaka_furari/status/527822717794263040","@bo2_sui @nasubi20m
ツイートを使わせていただきました。問題ありましたら対応しますのでご連絡ください。 http://t.co/LlhAEaIXtp","2014-10-30 14:01 +0000","25.0","28.0","1.12","0.0","0.0","0.0","2.0","7.0","0.0","19.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527820599578488833","https://twitter.com/nandaka_furari/status/527820599578488833","@kokonisun @butanankun @g_946 @madeshi @konatsu1104 @honneandvivio @toranksu1
ツイートを使わせていただきました。問題ありましたら対応しますのでご連絡ください http://t.co/LlhAEaIXtp","2014-10-30 13:53 +0000","70.0","29.0","0.4142857142857143","0.0","0.0","1.0","2.0","8.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527820436612984833","https://twitter.com/nandaka_furari/status/527820436612984833","@mcz_51 @0405Kizuna @love_asnhn4846 @UVER0world
ツイートを使わせていただきました。問題ありましたら対応しますのでご連絡ください。 http://t.co/LlhAEaIXtp","2014-10-30 13:52 +0000","65.0","26.0","0.4","0.0","0.0","3.0","3.0","2.0","0.0","18.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"527820241607221248","https://twitter.com/nandaka_furari/status/527820241607221248","「【動画あり】守備妨害？誤審？日本シリーズ第５戦の結末が話題に」をトゥギャりました。 http://t.co/LlhAEaIXtp","2014-10-30 13:52 +0000","382.0","15.0","0.03926701570680628","0.0","0.0","0.0","0.0","7.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
