"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"925367880316682241","https://twitter.com/nandaka_furari/status/925367880316682241","座間の事件、今はまだ謎が多いが自殺というのとは違うよな…。","2017-10-31 14:24 +0000","278.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925366806998433792","https://twitter.com/nandaka_furari/status/925366806998433792","ビットコインがすごいことになっているらしいので確認してみたが、確かにすごいことになっている。なんでこんなに騰がっているのか。信頼性があると思われているってことなのかな？","2017-10-31 14:20 +0000","78.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925362363594706944","https://twitter.com/nandaka_furari/status/925362363594706944","ホークス勝ったのか…3連勝？途中の中継を見ていたがなんとなく離れてしまった。全部見ときゃよかったか。","2017-10-31 14:02 +0000","328.0","2.0","0.006097560975609756","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925234852953178112","https://twitter.com/nandaka_furari/status/925234852953178112","今でもテレビで春ちゃん出てるのかな…もうめっきりテレビを見なくなったので分からない。 https://t.co/EwxlD1CTMX","2017-10-31 05:35 +0000","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925212578233466880","https://twitter.com/nandaka_furari/status/925212578233466880","昼飯は中華店で。しかし、中華店のラーメンってなんであんなに味が微妙なんだろう。","2017-10-31 04:07 +0000","53.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925192165126369285","https://twitter.com/nandaka_furari/status/925192165126369285","ふむ…。
QT
Java8のラムダ式やStream APIでクールに例外を扱う
https://t.co/9w3tqNOhFO","2017-10-31 02:46 +0000","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925181435513671681","https://twitter.com/nandaka_furari/status/925181435513671681","ラムダ　例外　でツイッタ検索していたらこれが正解かも、みたいな。
https://t.co/pdJmMcgDnr","2017-10-31 02:03 +0000","57.0","1.0","0.017543859649122806","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925163827850747904","https://twitter.com/nandaka_furari/status/925163827850747904","世間「トリックオアトリート」
俺「マネーオアマネー（金をくれきゃ金をもらうぞ）」","2017-10-31 00:53 +0000","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925163343395958784","https://twitter.com/nandaka_furari/status/925163343395958784","どう考えても負ける。
https://t.co/VLobemCeeC","2017-10-31 00:51 +0000","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925013896972328960","https://twitter.com/nandaka_furari/status/925013896972328960","もう寝なきゃ（使命感）","2017-10-30 14:57 +0000","70.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925006743309971461","https://twitter.com/nandaka_furari/status/925006743309971461","うどんにパンか…身近過ぎて名物なのかどうなのか分からなかったりする。東筑軒のかしわめしは名物といわれているのは知っているけど、それも大人になってからだな。
https://t.co/4QswjuRDde","2017-10-30 14:29 +0000","353.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924994254966947841","https://twitter.com/nandaka_furari/status/924994254966947841","そうだ。もうこたつの季節なんだ。やはりこたつはいい。","2017-10-30 13:39 +0000","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924990675346526208","https://twitter.com/nandaka_furari/status/924990675346526208","日米👉日本の米","2017-10-30 13:25 +0000","126.0","2.0","0.015873015873015872","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924936812916760577","https://twitter.com/nandaka_furari/status/924936812916760577","@kamijo_haruka 大丈夫ですよ。左派、リベラルにはリテラがあります。（あれ、さっさと潰れればいいのに）","2017-10-30 09:51 +0000","54.0","3.0","0.05555555555555555","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924897164454535168","https://twitter.com/nandaka_furari/status/924897164454535168","何でもない。","2017-10-30 07:14 +0000","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924897128262000640","https://twitter.com/nandaka_furari/status/924897128262000640","( ◜◡◝ )","2017-10-30 07:13 +0000","47.0","1.0","0.02127659574468085","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924871399990108160","https://twitter.com/nandaka_furari/status/924871399990108160","3つとも深入りすると易しくはないとは思うけど、まあ、何となく解る。&gt;RT","2017-10-30 05:31 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924870057804435457","https://twitter.com/nandaka_furari/status/924870057804435457","あるね。20世紀少年でもそんな台詞があった。","2017-10-30 05:26 +0000","55.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
