"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"704320730310144000","https://twitter.com/nandaka_furari/status/704320730310144000","https://t.co/ZGE44ex2Id のメール関連サーバの設定、雑だったのを少しいじってましなものにしようと思うが、設定の方法をだいぶ忘れている。Gmailのフィルタとかの合わせ技は効率良いのでなるべく早くしたいが…そうするとCentOS7が…。","2016-02-29 15:02 +0000","44.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704296832910778369","https://twitter.com/nandaka_furari/status/704296832910778369","何となく「ドイツ銀行 空売り」でツイッター検索してみたら…何なんだろう。","2016-02-29 13:27 +0000","98.0","1.0","0.01020408163265306","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704280251879133185","https://twitter.com/nandaka_furari/status/704280251879133185","アメリカの大統領選挙、状況の推移が激しくてなかなか呑み込めない事が多いけど、仮にバーニー・サンダースvsドナルド・トランプになったらサンダース圧勝になるのでは？と思う。トランプ氏の手法ってどうやら華麗にカウンターパンチを放つ事みたいだし、リングに上がらない人には無力だろう。","2016-02-29 12:21 +0000","83.0","1.0","0.012048192771084338","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704276470101770242","https://twitter.com/nandaka_furari/status/704276470101770242","例のアレって男だけじゃなく女にもなぜか受けがいいみたいだし、きたない百合みたいなのも、もしかして需要が…いやまさか…。","2016-02-29 12:06 +0000","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704269263897427971","https://twitter.com/nandaka_furari/status/704269263897427971","実態は「オレオレ日本（要するに自分）」を褒めてくれるから、とかそんなの多いと思うけど、差別言動を振りまいているタイプはそれだけじゃない、というか全く別の意図があるかも。
https://t.co/wkyKRDsJsf","2016-02-29 11:37 +0000","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"704240915200643072","https://twitter.com/nandaka_furari/status/704240915200643072","@andyshige これはどうも、ご丁寧に。","2016-02-29 09:44 +0000","23.0","3.0","0.13043478260869565","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703934719725928449","https://twitter.com/nandaka_furari/status/703934719725928449","フォロワーを0にする連携アプリがあったら需要はあるかな。でも、実際やったら空しくなりそう…。 https://t.co/vYYdesefMn","2016-02-28 13:28 +0000","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703932199146401792","https://twitter.com/nandaka_furari/status/703932199146401792","#ファンタジー社会問題 ー #Wesnoth 世界でホラー映画があったとしたら：
Malin Keshar「あ、あいつ俺の元部下じゃん」 https://t.co/lKyXKuSe8V","2016-02-28 13:18 +0000","699.0","2.0","0.002861230329041488","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703925980943880192","https://twitter.com/nandaka_furari/status/703925980943880192","そういえば、差別主義に手を染めたタイプのネトウヨが発狂しているように見えるけど、よほどヤバい事になっているんだろうか。ヤバい犯罪歴がバレそうにでもなっているのか？もしそうなら良い事だし興味あるし調べたい所だけれど。","2016-02-28 12:53 +0000","55.0","1.0","0.01818181818181818","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703923504039596033","https://twitter.com/nandaka_furari/status/703923504039596033","(彼女)ってなんだ…。 https://t.co/ZWir9kI7OI","2016-02-28 12:43 +0000","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703922717670506496","https://twitter.com/nandaka_furari/status/703922717670506496","VirtualBox用にCentOS7とFedora23の色々なタイプのをダウンロードしてみたけど、実際にサーバ用となるとどれ使うか。","2016-02-28 12:40 +0000","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703920971254595584","https://twitter.com/nandaka_furari/status/703920971254595584","疑問に思うのなら俺で試したらどうだろうか。 https://t.co/TKAA1sdIAx","2016-02-28 12:33 +0000","29.0","2.0","0.06896551724137931","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703906689590784002","https://twitter.com/nandaka_furari/status/703906689590784002","marseillaise84というアカウント、「趣味はサヨク狩り」と書きつつ「南フランスでひっそり」とかチキンにも程があると思う。 https://t.co/oYtk4o10PK","2016-02-28 11:36 +0000","62.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"703883160136740865","https://twitter.com/nandaka_furari/status/703883160136740865","福岡県だと慣れない人はバスで遭難するかも。俺も時々する…。","2016-02-28 10:03 +0000","66.0","1.0","0.015151515151515152","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
