"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"682601101984579585","https://twitter.com/nandaka_furari/status/682601101984579585","2015/12/31に @nandaka_furari のTLから見つかったパクツイ・パクられツイは2件ですた。
おいでよ パクツイの森: https://t.co/Xcq2H4ZYVr
#パク森 #パクレポ","2015-12-31 16:35 +0000","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682526278998605825","https://twitter.com/nandaka_furari/status/682526278998605825","ウヨクも絶賛内紛中だと思うけど @_500yen 氏はどっちにつくのかな。コウモリ野郎は嫌われるし決断が必要だと思うけど。 https://t.co/mXhIjpcC0m","2015-12-31 11:38 +0000","37.0","1.0","0.02702702702702703","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682505766868103169","https://twitter.com/nandaka_furari/status/682505766868103169","そういう意味では小泉元首相はやはりすごかったと言えるのか…そういえば、あの時安倍首相もいたんだっけ。内政はともかく外交で成果を挙げるのは、何かノウハウを伝授されていたからなのかな。
https://t.co/U4GHMN5zQV","2015-12-31 10:17 +0000","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682501964064686080","https://twitter.com/nandaka_furari/status/682501964064686080","日韓合意、北朝鮮は？と思って見たら
「屈辱行為」北朝鮮メディアが報道
https://t.co/cPDYiF9bhJ
在日朝鮮人団体が発表したと伝えた、っておま…それ…
ていうかこれ、反発してる国は中国だけ？台湾は…なんか微妙だし…","2015-12-31 10:02 +0000","56.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682375993957351424","https://twitter.com/nandaka_furari/status/682375993957351424","@laaaeeel このような差別主義的なツイートをしてタダで済むと思っているのですか？日本ではもうそのような事を行う者が堂々としていられる場所は無くなっていくでしょうし、韓国でも同じことになるでしょう。","2015-12-31 01:41 +0000","80.0","12.0","0.15","0.0","0.0","0.0","7.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682168524807077888","https://twitter.com/nandaka_furari/status/682168524807077888","そういや昨日、amazonのウィッシュリストいじってたら、うっかり消してしまったリストがあった。「本当に削除していいですか」とかそういうのあった方がいいと思うんだけど…。おかげでkonozama…。","2015-12-30 11:57 +0000","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682083462371774464","https://twitter.com/nandaka_furari/status/682083462371774464","あなたについての2つの真実と1つのウソを教えて。 — 真実としては…何かあるかな。
１．匿名アカウントとなってるけどあまり匿名ではない。
  パスワードとかメアドとか使いまわしてるし。
２．BitTorrentを使うことが割とあ… https://t.co/nX8HshBsER","2015-12-30 06:19 +0000","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682025819003174912","https://twitter.com/nandaka_furari/status/682025819003174912","Samsungは当然強いがSonyも負けてはいないのか。","2015-12-30 02:30 +0000","43.0","2.0","0.046511627906976744","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682021342611308545","https://twitter.com/nandaka_furari/status/682021342611308545","やはり、いつ見ても「すごく寒そう」という感想にしかならない…。
https://t.co/ydBsAaSJGR","2015-12-30 02:12 +0000","41.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"682015625904951296","https://twitter.com/nandaka_furari/status/682015625904951296","複アカ禁止ということかな。これは行き過ぎ感があると思う。明示的に本アカがどれで副アカがどれかを言えば特に問題は無いように思うのだけれど。ただ、自己申告だと難しい面があるかもしれない、という事を考えてのことなのか。","2015-12-30 01:49 +0000","98.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681830267204419584","https://twitter.com/nandaka_furari/status/681830267204419584","@nandaka_furari 今日はもうツイッタ終わるついでに。韓国マスコミの責任と書いたのは「慰安婦」と「挺身隊」の違いの説明を怠り続けていたから。解説してるの見たこと無い。責任追及が怖かったからだろうけど、責任は重大だと思う。","2015-12-29 13:32 +0000","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681828353674838017","https://twitter.com/nandaka_furari/status/681828353674838017","ウィンウィン：双方にメリットがある良好な人間関係
はどうなんだろう。不快であってもいちいち「双方に~」というのも手間だし…誤訳と言われればそうかなという気はしそうだし…それ以外のは、まあそうかな、と思うけど。
to:記事
https://t.co/HjJXSsjTnU","2015-12-29 13:25 +0000","116.0","1.0","0.008620689655172414","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681816276847599617","https://twitter.com/nandaka_furari/status/681816276847599617","蒸し返さなかったら困る人がいるのだろう。
https://t.co/6RSNje0NLV","2015-12-29 12:37 +0000","53.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681813496212787200","https://twitter.com/nandaka_furari/status/681813496212787200","髪切る職業の人ってだいたいこんな感じのイメージがある。なぜかは知らないけど。 https://t.co/kGMndpe9XT","2015-12-29 12:26 +0000","49.0","1.0","0.02040816326530612","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681807543312580609","https://twitter.com/nandaka_furari/status/681807543312580609","今年くらいからかな、千や万のRTのTWが回ってきても、内容に納得できない場合は引用ツイートすることが多かった気がする…。","2015-12-29 12:02 +0000","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681790093661573120","https://twitter.com/nandaka_furari/status/681790093661573120","@kagami8125 日韓両政府、特に、私は日本人ですので日本政府に関して言えば、被害者の声を聞いていないというのは間違いだと思います。朝鮮日報など、全てではないでしょうが、日本語訳を読めますし、慰安婦の意見を知れます。もし不十分だとしたらそれはもう韓国マスコミの責任です。","2015-12-29 10:53 +0000","32.0","2.0","0.0625","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"681771611024826368","https://twitter.com/nandaka_furari/status/681771611024826368","@kagami8125 課題や問題が未だ多いのはそうでしょうけれど、私は今のところ今回の事は良い先例だと考えています。何もかもを満たす決着はそうそうあることでは無い、と考えていますので。どちらにせよ、まだ分からないところも多いので、年末は休養して来年から、と思っています。","2015-12-29 09:39 +0000","18.0","2.0","0.1111111111111111","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
