"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"587176169478365185","https://twitter.com/nandaka_furari/status/587176169478365185","http://t.co/ZM2405SXLq
む…これで動いた","2015-04-12 08:51 +0000","204.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"585772314362523648","https://twitter.com/nandaka_furari/status/585772314362523648","知らん間に仕様が変わった…？
https://t.co/C3ieiGkp9p","2015-04-08 11:52 +0000","215.0","1.0","0.004651162790697674","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"583197869244428288","https://twitter.com/nandaka_furari/status/583197869244428288","今更だけどgithubにアカウント作ってみた。
https://t.co/yL4RG8Dhlf
色々遊んでみよう。","2015-04-01 09:23 +0000","216.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"582147172012982272","https://twitter.com/nandaka_furari/status/582147172012982272","心がざわついて落ち着かない感じがまた
今日はいけそうな感じがしたんだけど…
なかなかうまくいかない","2015-03-29 11:47 +0000","233.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"582082557115678720","https://twitter.com/nandaka_furari/status/582082557115678720","なんとなく気分落ち着いているから
それなりにいいコード書ける？
久しぶりにしてみる","2015-03-29 07:31 +0000","243.0","1.0","0.00411522633744856","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"579645639799140352","https://twitter.com/nandaka_furari/status/579645639799140352","はー
全く気分落ち着かなくて苦しい","2015-03-22 14:07 +0000","247.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"575292138394537984","https://twitter.com/nandaka_furari/status/575292138394537984","@a1675ka　様へ
先日トゥギャッター
http://t.co/N69RFpFifq
で配慮に欠いたコメントをしてしまい申し訳なく思っています。建設的な議論をしてほしい
という思いを伝えたかったのですが、結果的に暴言になってしまいました。すみませんでした。","2015-03-10 13:48 +0000","39.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"575289245952143360","https://twitter.com/nandaka_furari/status/575289245952143360","@Kaun1954　様へ
先日トゥギャッター
http://t.co/N69RFpFifq
で感情的で礼を失したコメントをしてしまい不快な思いをさせてしまったと思っています。
お詫び申し上げます。
すみませんでした。","2015-03-10 13:36 +0000","109.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574945069939085312","https://twitter.com/nandaka_furari/status/574945069939085312","@Kaun1954 今の考えとしては少なくともhosssssynaさんが内心中国人を見下しているとする根拠は十分あるとは言えないのではないか、という考えです。 http://t.co/hK6HcVc4TP","2015-03-09 14:49 +0000","85.0","1.0","0.011764705882352941","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574942001776361472","https://twitter.com/nandaka_furari/status/574942001776361472","@Kaun1954 ""「否定したい」の方に主眼が置かれている""というのは正直ありました。ただ、硬直しているという指摘を受けてそれはそうだと思いなおしました。Kaun1954さんのコメントに自分が納得.. http://t.co/B6BuLkiiOj","2015-03-09 14:37 +0000","78.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574929141536948224","https://twitter.com/nandaka_furari/status/574929141536948224","@Kaun1954 ""～しか""が""硬直した発想しか出来ない""という点は、
言われてみれば確かにそうだと思います。なので
""私はこう考えるほうがしっくりきます""
と変えます。
それと""理解した.. http://t.co/SsDf7KsU5j","2015-03-09 13:46 +0000","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574904055287275520","https://twitter.com/nandaka_furari/status/574904055287275520","@a1675ka いちいちくだらない罵倒語入れてコメントするのやめませんか？見苦しくってしょうがないのですが。 http://t.co/CUgsaqb34X","2015-03-09 12:06 +0000","42.0","1.0","0.023809523809523808","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574899088056942592","https://twitter.com/nandaka_furari/status/574899088056942592","@Kaun1954 仲のいい日本人が悔しい思いをしているのに買ってくれるからと何も怒らないって、それこそ内心日本人を見下していて本質が差別客と同じものをもっているとしか思えないですね。
どうしてそ.. http://t.co/frHCTbZF15","2015-03-09 11:46 +0000","64.0","2.0","0.03125","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574885819917279232","https://twitter.com/nandaka_furari/status/574885819917279232","@Kaun1954 その例でいうなら中国人が怒りのツイートをしてそれがまとめられて拡散して…ということまで考えることもできると思います。
もしそうなったら私としては苦しい状況になるかもしれないのに.. http://t.co/CDNRayacrT","2015-03-09 10:53 +0000","45.0","1.0","0.022222222222222223","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574882914795569153","https://twitter.com/nandaka_furari/status/574882914795569153","@StrikerS_Signum ""これがさ白人だったり黒人を差別する人だったり""
それ普通に人種差別では。大問題になると思います。特に黒人差別だったら反応も大きくなるのでは
""関西弁や東北弁を.. http://t.co/xJJGSAgv0E","2015-03-09 10:42 +0000","50.0","9.0","0.18","0.0","0.0","0.0","0.0","6.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574585109115895808","https://twitter.com/nandaka_furari/status/574585109115895808",".@Netouyo_Killer さんの「「中国人と韓国人嫌いなのよ。日本人に代わってくれない？」」をお気に入りにしました。 http://t.co/N69RFpFifq","2015-03-08 14:58 +0000","466.0","7.0","0.015021459227467811","1.0","0.0","0.0","0.0","4.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"574584726230429696","https://twitter.com/nandaka_furari/status/574584726230429696","@mentalskillbody ""日本人の多くはいつも反レイシズムの方々のこういった話に苦しめられ続け被害を受け続けています。""
批判されているのは「中国人と韓国人がーって言ってる日本人」でしょ.. http://t.co/xrXKGTpNHN","2015-03-08 14:57 +0000","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
