"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"660602264336232448","https://twitter.com/nandaka_furari/status/660602264336232448","@nandaka_furari …艦これコラボという名のキャラ移籍もそのうちあるだろうな。ユーザーは今の内にファンキルすると良いと思う。","2015-10-31 23:40 +0000","47.0","3.0","0.06382978723404255","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660601639271731200","https://twitter.com/nandaka_furari/status/660601639271731200","@nandaka_furari フラガラッハ、人気低いだろうな…全力バカやってるキャラ好きなんだが…レーヴァティンの人気がいまいち分からない。","2015-10-31 23:37 +0000","25.0","2.0","0.08","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660600288101818369","https://twitter.com/nandaka_furari/status/660600288101818369","フラガラッハに投票しました！投票はこちら→ https://t.co/BHzYWgAtEO あなたの一票で、★6進化するキル姫が決まる！ファントム オブ キル 1周年記念 決選人気投票大作戦 #フラガラッハ #ファンキル #キル姫決戦人気投票","2015-10-31 23:32 +0000","90.0","5.0","0.05555555555555555","0.0","1.0","0.0","0.0","1.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660599731047915520","https://twitter.com/nandaka_furari/status/660599731047915520","ナーゲルリングに投票しました！投票はこちら→ https://t.co/BHzYWgAtEO あなたの一票で、★6進化するキル姫が決まる！ファントム オブ キル 1周年記念 決選人気投票大作戦 #ナーゲルリング #ファンキル #キル姫決戦人気投票","2015-10-31 23:30 +0000","78.0","3.0","0.038461538461538464","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660558337126232064","https://twitter.com/nandaka_furari/status/660558337126232064","ガンバンテインに投票しました！投票はこちら→ https://t.co/BHzYWgAtEO あなたの一票で、★6進化するキル姫が決まる！ファントム オブ キル 1周年記念 決選人気投票大作戦 #ガンバンテイン #ファンキル #キル姫決戦人気投票","2015-10-31 20:45 +0000","91.0","7.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","3.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660463004778033152","https://twitter.com/nandaka_furari/status/660463004778033152","もういいや、寝よ。","2015-10-31 14:27 +0000","36.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660431418661535744","https://twitter.com/nandaka_furari/status/660431418661535744","@nandaka_furari Javaでインストールするタイプのをダウンロードしてみた。管理者権限でコマンドプロンプトからjavaコマンドでインストールできるけどそれ以外の場合はうまくいかない…？Windowsのバージョンは関係ないような気がする。5.2はexeでやっていた。","2015-10-31 12:21 +0000","26.0","1.0","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660428520007405568","https://twitter.com/nandaka_furari/status/660428520007405568","@nandaka_furari なんか知らん間に5.3になってたっぽい。インスコしてみるか。
jEdit - Browse /jedit/5.3.0 at https://t.co/d02Qwe3zKt
https://t.co/tPoivb6Wqe","2015-10-31 12:10 +0000","41.0","1.0","0.024390243902439025","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660229148036591616","https://twitter.com/nandaka_furari/status/660229148036591616","今もっとも錻力のアーチスト、チャンピオン、いや少年漫画界の中で少年漫画的熱血さを持っているのは桃ちゃん。異論は認めない。
#Weekly_champion","2015-10-30 22:57 +0000","189.0","2.0","0.010582010582010581","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660068052759744512","https://twitter.com/nandaka_furari/status/660068052759744512","アメリカが何をすべきかがほとんど無く、何より自分が何をするかを言ってないのが気になる。 https://t.co/XzXL8NhfJj","2015-10-30 12:17 +0000","67.0","3.0","0.04477611940298507","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660058171646414848","https://twitter.com/nandaka_furari/status/660058171646414848","そういえばKPOPはjaとkoバージョンとでは扱いに差があったんだろうか。 https://t.co/k5eHCP9nrX","2015-10-30 11:38 +0000","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660057147082862593","https://twitter.com/nandaka_furari/status/660057147082862593","今日 j1jp ハッシュタグをざっと見てみたけど案の定自分の頭じゃ理解できない世界だった。本当にビックリする頭に入ってこない…","2015-10-30 11:34 +0000","53.0","1.0","0.018867924528301886","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"660055660315316224","https://twitter.com/nandaka_furari/status/660055660315316224","@nandaka_furari Twitterで一番やっちゃいけないの、匿名アカウント（特に身元を完全に隠すように）で利用することじゃないか、て気がしてる。ホントに今さらだけど。","2015-10-30 11:28 +0000","37.0","1.0","0.02702702702702703","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
